"year","rep","scenario","GEI","stage","mean_gv_met","mean_gv_tpe","var_gv_met","var_gv_tpe","acc_met","acc_tpe","met_tpe"
6,1,"Pheno","Moderate","EYT",0.218820017605066,0.272915771742833,0.549145753857019,0.601826300703223,0.891979790797466,0.970747654367023,0.954671243102926
7,1,"Pheno","Moderate","EYT",0.496229803219105,0.367578126612998,0.574546736109332,0.460126864246964,0.963838962480861,0.957049526533191,0.960924877216577
8,1,"Pheno","Moderate","EYT",0.582480283976063,0.767721761158233,0.269183761623177,0.411513281403,0.947871298920141,0.965717444728738,0.989223561604739
9,1,"Pheno","Moderate","EYT",0.410355781077815,0.400953768840613,0.54395247971352,0.382446778678062,0.981898998341123,0.977735884514156,0.993079996052009
10,1,"Pheno","Moderate","EYT",0.581653278970028,0.596341913151636,0.174426014705497,0.272281663640566,0.841036658777414,0.882009247737867,0.902664607643078
11,1,"Pheno","Moderate","EYT",0.136256019474244,0.275276943972572,0.286516737729417,0.376664475780299,0.920234391022528,0.929893888163262,0.932133668995182
12,1,"Pheno","Moderate","EYT",0.57538595975293,0.571100233139782,0.665331228824295,0.678861400720294,0.923700790957707,0.95627175123229,0.974649332270191
13,1,"Pheno","Moderate","EYT",0.402292822730828,0.507418269061837,0.937801983760051,0.470181652098133,0.924139543286922,0.972590438529978,0.944942013686481
14,1,"Pheno","Moderate","EYT",0.666741799327098,0.53565810585638,1.15189343160533,0.868682101917756,0.98613287561277,0.993680634463682,0.993585212899439
15,1,"Pheno","Moderate","EYT",0.771742317037539,0.691717306795143,0.572557538263373,0.420342636369882,0.889567040217022,0.970680478004898,0.961649641613075
16,1,"Pheno","Moderate","EYT",0.922739124329132,0.903813041689605,0.186518675010754,0.217985382163181,0.792035110692153,0.883648526575291,0.862515154707835
17,1,"Pheno","Moderate","EYT",0.842701476661324,0.847568111227688,0.183141924073289,0.183073531143533,0.867786744540746,0.917615677038587,0.967966995349164
18,1,"Pheno","Moderate","EYT",1.29575572791819,1.13413229052452,0.185342155224419,0.100985464240791,0.876519639916419,0.911438145718736,0.932609044081787
19,1,"Pheno","Moderate","EYT",0.823593930083032,0.77506392901589,0.400665778557941,0.383829421685762,0.958019345622534,0.990038634075454,0.957003699555227
20,1,"Pheno","Moderate","EYT",1.05786055021756,0.991602469211456,0.70801590820443,0.271548607465262,0.887944541847061,0.979125751739571,0.885672886724251
